City,FAA,IATA,ICAO,Airport,Role,Enplanements
Kearney,EAR,EAR,KEAR,Kearney Regional Airport (was Kearney Municipal),P-N,4_568
Lincoln,LNK,LNK,KLNK,Lincoln Airport (was Lincoln Municipal),P-N,150_214
North Platte,LBF,LBF,KLBF,North Platte Regional Airport (Lee Bird Field),P-N,13_798
Omaha,OMA,OMA,KOMA,Eppley Airfield,P-M,2_454_878
Scottsbluff,BFF,BFF,KBFF,Western Nebraska Regional Airport (William B. Heilig Field),P-N,14_295
NEVADA,,,,,,
Boulder City,BVU,BLD,KBVU,Boulder City Municipal Airport,P-N,205_690
Elko,EKO,EKO,KEKO,Elko Regional Airport (J.C. Harris Field),P-N,18_363
Las Vegas,LAS,LAS,KLAS,Harry Reid International Airport,P-L,23_795_012
Reno,RNO,RNO,KRNO,Reno/Tahoe International Airport,P-M,2_048_916
NEW HAMPSHIRE,,,,,,
Manchester,MHT,MHT,KMHT,Manchester-Boston Regional Airport,P-S,911_225
Portsmouth,PSM,PSM,KPSM,Portsmouth International Airport at Pease,P-N,92_836
NEW JERSEY,,,,,,
Atlantic City,ACY,ACY,KACY,Atlantic City International Airport,P-S,568_958
Newark,EWR,EWR,KEWR,Newark Liberty International Airport,P-L,22_797_602
Trenton,TTN,TTN,KTTN,Trenton Mercer Airport,P-N,404_349
NEW MEXICO,,,,,,
Albuquerque,ABQ,ABQ,KABQ,Albuquerque International Sunport,P-M,2_647_269
Hobbs,HOB,HOB,KHOB,Lea County Regional Airport,P-N,23_475
Roswell,ROW,ROW,KROW,Roswell Air Center,P-N,56_632
Santa Fe,SAF,SAF,KSAF,Santa Fe Municipal Airport,P-N,115_787
NEW YORK,,,,,,
Albany,ALB,ALB,KALB,Albany International Airport,P-S,1_440_674
Binghamton,BGM,BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field),P-N,36_382
Buffalo,BUF,BUF,KBUF,Buffalo Niagara International Airport,P-S,2_523_158
Elmira / Corning,ELM,ELM,KELM,Elmira/Corning Regional Airport,P-N,141_075
Ithaca,ITH,ITH,KITH,Ithaca Tompkins International Airport,P-N,99_070
New York,JFK,JFK,KJFK,John F. Kennedy International Airport (was New York International Airport),P-L,30_620_769
